name,id,xloc,yloc,cell,orient,routing_demand,congestion,capacity,GRC_Index,pin_count,pin_total
clk_gate_out_reg/latch,0,41984,44544,23,0,20.0,-8.0,28.0,"(29, 27)",4,12
clk_gate_out_reg_0/latch,1,41984,47616,23,6,23.0,-5.0,28.0,"(31, 27)",4,8
clk_gate_out_reg_1/latch,2,44160,44544,23,0,23.0,-10.0,33.0,"(29, 28)",4,10
clk_gate_out_reg_2/latch,3,44160,47616,23,0,22.0,-11.0,33.0,"(31, 28)",4,8
clk_gate_out_reg_3/latch,4,46336,47616,23,0,21.0,-2.0,23.0,"(31, 29)",4,4
clk_gate_out_reg_4/latch,5,44160,50688,23,6,26.0,-8.0,34.0,"(33, 28)",4,8
clk_gate_out_reg_5/latch,6,41984,47616,23,0,23.0,-5.0,28.0,"(31, 27)",4,8
clk_gate_out_reg_6/latch,7,44416,47616,23,6,22.0,-11.0,33.0,"(31, 28)",4,8
clk_gate_out_reg_7/latch,8,41984,50688,23,0,26.0,-2.0,28.0,"(33, 27)",4,16
clk_gate_out_reg_8/latch,9,43904,44544,23,6,23.0,-10.0,33.0,"(29, 28)",4,10
clk_gate_out_reg_9/latch,10,39808,47616,23,0,21.0,-12.0,33.0,"(31, 25)",4,19
clk_gate_out_reg_10/latch,11,39808,50688,23,6,27.0,-9.0,36.0,"(33, 25)",4,16
valid_reg_0_,12,10880,81408,65,0,16.0,-9.0,25.0,"(53, 6)",6,9
out_reg_31_,13,512,7680,65,6,10.0,-26.0,36.0,"(5, 0)",6,6
out_reg_30_,14,35456,41472,65,6,23.0,-7.0,30.0,"(27, 22)",6,17
out_reg_29_,15,512,26112,65,6,14.0,-16.0,30.0,"(17, 0)",6,12
out_reg_28_,16,27776,1536,65,0,19.0,-13.0,32.0,"(1, 17)",6,12
out_reg_27_,17,80896,72192,65,0,19.0,-10.0,29.0,"(47, 52)",6,6
out_reg_26_,18,58880,81408,65,0,20.0,-10.0,30.0,"(53, 38)",6,6
out_reg_25_,19,512,59904,65,0,19.0,-7.0,26.0,"(39, 0)",6,12
out_reg_24_,20,640,1536,65,0,7.0,-27.0,34.0,"(1, 0)",6,6
out_reg_23_,21,512,26112,65,0,14.0,-16.0,30.0,"(17, 0)",6,12
out_reg_22_,22,83456,47616,65,4,15.0,-17.0,32.0,"(31, 54)",6,24
out_reg_21_,23,83456,53760,65,2,14.0,-17.0,31.0,"(35, 54)",6,18
out_reg_20_,24,512,4608,65,0,8.0,-24.0,32.0,"(3, 0)",6,12
out_reg_19_,25,51456,1536,65,4,17.0,-15.0,32.0,"(1, 33)",6,12
out_reg_18_,26,19456,1536,65,4,16.0,-16.0,32.0,"(1, 12)",6,12
out_reg_17_,27,512,44544,65,6,30.0,-2.0,32.0,"(29, 0)",6,6
out_reg_16_,28,27136,81408,65,0,22.0,-10.0,32.0,"(53, 17)",6,6
out_reg_15_,29,83456,29184,65,4,12.0,-20.0,32.0,"(19, 54)",6,24
out_reg_14_,30,512,69120,65,6,21.0,-4.0,25.0,"(45, 0)",6,12
out_reg_13_,31,76416,75264,65,0,22.0,-10.0,32.0,"(49, 49)",6,16
out_reg_12_,32,51840,84480,65,6,17.0,-15.0,32.0,"(55, 33)",6,24
out_reg_11_,33,72576,78336,65,0,27.0,-9.0,36.0,"(51, 46)",6,11
out_reg_10_,34,75520,1536,65,4,10.0,-19.0,29.0,"(1, 48)",6,6
out_reg_9_,35,19456,81408,65,0,25.0,-7.0,32.0,"(53, 12)",6,22
out_reg_8_,36,75776,1536,65,0,10.0,-20.0,30.0,"(1, 49)",6,6
out_reg_7_,37,80256,35328,65,0,24.0,-12.0,36.0,"(23, 51)",6,11
out_reg_6_,38,34944,81408,65,0,21.0,-9.0,30.0,"(53, 22)",6,6
out_reg_5_,39,75776,4608,65,6,15.0,-15.0,30.0,"(3, 49)",6,12
out_reg_4_,40,83456,69120,65,2,17.0,-15.0,32.0,"(45, 54)",6,24
out_reg_3_,41,59776,1536,65,0,16.0,-16.0,32.0,"(1, 38)",6,12
out_reg_2_,42,43520,1536,65,4,21.0,-11.0,32.0,"(1, 28)",6,12
out_reg_1_,43,80256,41472,65,6,25.0,-9.0,34.0,"(27, 51)",6,6
out_reg_0_,44,43776,84480,65,6,17.0,-15.0,32.0,"(55, 28)",6,24
valid_reg_1_,45,11520,87552,65,2,19.0,-17.0,36.0,"(57, 7)",6,12
out_reg_63_,46,4352,4608,65,0,11.0,-20.0,31.0,"(3, 2)",6,12
out_reg_62_,47,19072,47616,65,0,24.0,-8.0,32.0,"(31, 12)",6,10
out_reg_61_,48,512,32256,65,6,24.0,-12.0,36.0,"(21, 0)",6,6
out_reg_60_,49,34688,4608,65,6,18.0,-10.0,28.0,"(3, 22)",6,6
out_reg_59_,50,75776,69120,65,6,30.0,-6.0,36.0,"(45, 49)",6,11
out_reg_58_,51,61312,81408,65,6,15.0,-10.0,25.0,"(53, 39)",6,6
out_reg_57_,52,4352,59904,65,0,20.0,-11.0,31.0,"(39, 2)",6,12
out_reg_56_,53,4352,4608,65,6,11.0,-20.0,31.0,"(3, 2)",6,12
out_reg_55_,54,4352,32256,65,6,21.0,-11.0,32.0,"(21, 2)",6,12
